funcs,n,percent,valid_percent
case_when(),16,0.06015037593984962,0.07207207207207207
pivot_longer(),7,0.02631578947368421,0.03153153153153153
pivot_wider(),6,0.022556390977443608,0.02702702702702703
coalesce(),5,0.018796992481203006,0.02252252252252252
fill(),5,0.018796992481203006,0.02252252252252252
across(),4,0.015037593984962405,0.018018018018018018
lag(),4,0.015037593984962405,0.018018018018018018
separate(),4,0.015037593984962405,0.018018018018018018
separate_rows(),4,0.015037593984962405,0.018018018018018018
str_detect(),4,0.015037593984962405,0.018018018018018018
uncount(),4,0.015037593984962405,0.018018018018018018
anti_join(),3,0.011278195488721804,0.013513513513513514
complete(),3,0.011278195488721804,0.013513513513513514
fct_reorder(),3,0.011278195488721804,0.013513513513513514
lead(),3,0.011278195488721804,0.013513513513513514
map(),3,0.011278195488721804,0.013513513513513514
recode(),3,0.011278195488721804,0.013513513513513514
replace_na(),3,0.011278195488721804,0.013513513513513514
slice(),3,0.011278195488721804,0.013513513513513514
str_wrap(),3,0.011278195488721804,0.013513513513513514
add_count(),2,0.007518796992481203,0.009009009009009009
between(),2,0.007518796992481203,0.009009009009009009
breaks_pretty(),2,0.007518796992481203,0.009009009009009009
distinct(),2,0.007518796992481203,0.009009009009009009
enframe(),2,0.007518796992481203,0.009009009009009009
fct_infreq(),2,0.007518796992481203,0.009009009009009009
floor_date(),2,0.007518796992481203,0.009009009009009009
gather(),2,0.007518796992481203,0.009009009009009009
group_indices(),2,0.007518796992481203,0.009009009009009009
group_map(),2,0.007518796992481203,0.009009009009009009
left_join(),2,0.007518796992481203,0.009009009009009009
mutate(),2,0.007518796992481203,0.009009009009009009
n_distinct(),2,0.007518796992481203,0.009009009009009009
nest(),2,0.007518796992481203,0.009009009009009009
partial(),2,0.007518796992481203,0.009009009009009009
pluck(),2,0.007518796992481203,0.009009009009009009
pull(),2,0.007518796992481203,0.009009009009009009
safely(),2,0.007518796992481203,0.009009009009009009
tabyl(),2,0.007518796992481203,0.009009009009009009
unite(),2,0.007518796992481203,0.009009009009009009
unnest(),2,0.007518796992481203,0.009009009009009009
walk(),2,0.007518796992481203,0.009009009009009009
{forcats},2,0.007518796992481203,0.009009009009009009
{tidyeval},2,0.007518796992481203,0.009009009009009009
*_join(),1,0.0037593984962406013,0.0045045045045045045
View(),1,0.0037593984962406013,0.0045045045045045045
add_predictions(),1,0.0037593984962406013,0.0045045045045045045
arrange(),1,0.0037593984962406013,0.0045045045045045045
as_mapper(),1,0.0037593984962406013,0.0045045045045045045
ceiling_date(),1,0.0037593984962406013,0.0045045045045045045
count(),1,0.0037593984962406013,0.0045045045045045045
crossing(),1,0.0037593984962406013,0.0045045045045045045
cut_interval(),1,0.0037593984962406013,0.0045045045045045045
cut_number (),1,0.0037593984962406013,0.0045045045045045045
cut_width(),1,0.0037593984962406013,0.0045045045045045045
deframe(),1,0.0037593984962406013,0.0045045045045045045
dense_rank(),1,0.0037593984962406013,0.0045045045045045045
dplyr::first(),1,0.0037593984962406013,0.0045045045045045045
dplyr::last(),1,0.0037593984962406013,0.0045045045045045045
drop_na(),1,0.0037593984962406013,0.0045045045045045045
every(),1,0.0037593984962406013,0.0045045045045045045
expand_grid(),1,0.0037593984962406013,0.0045045045045045045
fct_explicit_na(),1,0.0037593984962406013,0.0045045045045045045
fct_inorder(),1,0.0037593984962406013,0.0045045045045045045
fct_relevel(),1,0.0037593984962406013,0.0045045045045045045
filter(),1,0.0037593984962406013,0.0045045045045045045
first(),1,0.0037593984962406013,0.0045045045045045045
force_tz(),1,0.0037593984962406013,0.0045045045045045045
geom_count(),1,0.0037593984962406013,0.0045045045045045045
glimpse(),1,0.0037593984962406013,0.0045045045045045045
grepl(),1,0.0037593984962406013,0.0045045045045045045
group_*(),1,0.0037593984962406013,0.0045045045045045045
group_by(),1,0.0037593984962406013,0.0045045045045045045
group_walk(),1,0.0037593984962406013,0.0045045045045045045
hoist(),1,0.0037593984962406013,0.0045045045045045045
if(),1,0.0037593984962406013,0.0045045045045045045
if_else(),1,0.0037593984962406013,0.0045045045045045045
janitor::clean_names(),1,0.0037593984962406013,0.0045045045045045045
keep_all(),1,0.0037593984962406013,0.0045045045045045045
labs(),1,0.0037593984962406013,0.0045045045045045045
last(),1,0.0037593984962406013,0.0045045045045045045
left_join,1,0.0037593984962406013,0.0045045045045045045
make_valid(),1,0.0037593984962406013,0.0045045045045045045
map_*(),1,0.0037593984962406013,0.0045045045045045045
map_dfr(),1,0.0037593984962406013,0.0045045045045045045
mutate_at(),1,0.0037593984962406013,0.0045045045045045045
mutate_if(),1,0.0037593984962406013,0.0045045045045045045
n(),1,0.0037593984962406013,0.0045045045045045045
n_tile(),1,0.0037593984962406013,0.0045045045045045045
na_if(),1,0.0037593984962406013,0.0045045045045045045
near(),1,0.0037593984962406013,0.0045045045045045045
nest_by(),1,0.0037593984962406013,0.0045045045045045045
none(),1,0.0037593984962406013,0.0045045045045045045
nth(),1,0.0037593984962406013,0.0045045045045045045
ntile(),1,0.0037593984962406013,0.0045045045045045045
parse_*(),1,0.0037593984962406013,0.0045045045045045045
parse_date_time(),1,0.0037593984962406013,0.0045045045045045045
paste(),1,0.0037593984962406013,0.0045045045045045045
possibly(),1,0.0037593984962406013,0.0045045045045045045
problems(),1,0.0037593984962406013,0.0045045045045045045
read_csv(),1,0.0037593984962406013,0.0045045045045045045
read_delim(),1,0.0037593984962406013,0.0045045045045045045
reduce(),1,0.0037593984962406013,0.0045045045045045045
relocate(),1,0.0037593984962406013,0.0045045045045045045
select(),1,0.0037593984962406013,0.0045045045045045045
skim(),1,0.0037593984962406013,0.0045045045045045045
slice_max(),1,0.0037593984962406013,0.0045045045045045045
slice_min(),1,0.0037593984962406013,0.0045045045045045045
some(),1,0.0037593984962406013,0.0045045045045045045
spread(),1,0.0037593984962406013,0.0045045045045045045
stat_summary,1,0.0037593984962406013,0.0045045045045045045
str_glue(),1,0.0037593984962406013,0.0045045045045045045
str_match(),1,0.0037593984962406013,0.0045045045045045045
str_remove(),1,0.0037593984962406013,0.0045045045045045045
str_trim(),1,0.0037593984962406013,0.0045045045045045045
str_which(),1,0.0037593984962406013,0.0045045045045045045
string_extract(),1,0.0037593984962406013,0.0045045045045045045
